,visitors,exhibitors,lat,lng,iata,distance
2880,0,30.0,33.807967,-117.922189,LAX,47.27878797719753
2881,0,30.0,25.247954,55.345317,DXB,1.993297429844846
2882,0,30.0,51.496,-0.170317,LON,15.6497592953095
2883,12500.0,300.0,-33.772965,150.907906,SYD,31.43276443492794
2884,12500.0,300.0,41.386425,2.123028,BCN,10.606489492571729
2885,0,30.0,34.199764,-118.347598,LAX,29.142262312922735
2886,0,0,52.513835,13.393517,BER,8.788107957003529
2887,0,60.0,33.764568,-118.192151,LAX,28.084492503966324
2888,0,0,40.755476,-73.982169,NYC,9.538709109969938
2889,0,30.0,25.0750095,55.1887608818,DXB,26.519608774126315
2890,0,30.0,40.752039,-73.97638,NYC,9.177323180007509
2891,0,30.0,51.515115,-0.174386,LON,15.931316744476423
2892,0,0,52.555346,13.387066,BER,6.734842151351966
2893,0,0,37.41166,-121.98206,SFO,41.62483875797448
2894,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
2895,0,30.0,37.785228,-122.404389,SFO,18.663730761578336
2896,0,0,25.7929198,-80.1353006,MIA,15.548464251627024
2897,0,60.0,51.500648,0.313576,LON,17.885811443456372
2898,0,30.0,51.508176,-0.059571,LON,7.95516052215348
2899,0,30.0,25.770889,-80.190955,MIA,10.28121767555139
2900,0,30.0,51.507268,-0.16573,LON,15.297729240164495
2901,250.0,30.0,50.823712,-0.137956,LON,36.255957319682736
2902,35000.0,0,41.350349,2.083186,BCN,5.934148996534853
2903,35000.0,0,34.0696501,-118.3963062,LAX,14.179337490024903
2904,0,30.0,51.512371,-0.17516,LON,15.967303144142058
2905,3000.0,150.0,19.134323,72.901328,BOM,6.170409260391642
2906,10000.0,200.0,37.660127,-121.885854,SFO,43.31220395539261
2907,0,30.0,25.263862,55.32533,DXB,4.116973348449412
2908,12500.0,300.0,22.350627,114.1849161,HKG,28.14761015722429
2909,0,30.0,1.3408528,103.8784468637,SIN,12.887602867904425
2910,0,60.0,33.883886,-118.308262,LAX,11.27757608131479
2911,35000.0,0,40.769081,-73.95648,NYC,7.1210877737589495
2912,3000.0,300.0,50.844716,0.089639,LON,39.010052717909815
2913,0,30.0,1.296643,103.776394,SIN,24.912551481261122
2914,0,30.0,25.686922,-80.341942,MIA,12.887796167496981
2915,500.0,100.0,51.544966,-0.15358,LON,15.10748955007983
2916,0,0,47.615839,-122.200651,SEA,20.256457070922465
2917,0,0,51.500487,-0.014618,LON,4.867425783401835
2918,0,30.0,51.493341,-0.183343,LON,16.571129105039276
2919,0,0,37.802173,-122.272918,SFO,22.25965793442587
2920,0,30.0,40.732121,-73.954795,NYC,8.547614723437793
2921,0,0,13.7397107,100.5112057,BKK,21.830324113489038
2922,0,30.0,40.721147,-74.006179,NYC,12.863544729898889
2923,3000.0,300.0,50.13285,8.917069,FRA,27.087468636148472
2924,0,30.0,50.11073,8.665911,FRA,10.971652232771577
2925,0,0,13.7397107,100.5112057,BKK,21.830324113489038
2926,35000.0,0,13.669887,100.61001,BKK,14.853354363689126
2927,0,10.0,25.0750095,55.1887608818,DXB,26.519608774126315
